  D1 D2 D3 D4 D5 D6 D7 D8 D9 D10
DE 464       165       194   392   398    235   509    96     58    662 
LA 365       140       182   303   405    200   461    103    57    572
LES 281       105       146   224   291    187   319    55     36    479
ET 227       92        104   202   196    115   303    72     35    362
LE 200       44        86    189   194    107   222    35     27    247
L 188       45        81    143   168    74    253    55     32    248
à 161       39        60    129   135    70    221    39     17    258
DES 119       61        78    114   130    82    100    37     14    242
QUE 94        28        41    68    124    60    138    20     10    220
QUI 98        10        47    78    100    56    140    29     16    201
EST 81        22        52    48    119    29    87     33     21    181
IL 86        11        50    105   97     44    80     19     11    102
POUR 68        24        42    67    88     40    115    27     15    109
D 91        21        29    60    66     30    89     20     8     151
DE2 77        28        40    50    103    36    93     22     10    104
UN 82        11        24    85    57     36    108    16     1     125
PAR 65        14        24    63    86     34    89     10     5     109
DANS 55        13        33    51    69     32    87     8      13    132
QU 51        16        22    59    56     30    67     7      5     124
NOUS 54        36        50    3     50     44    52     26     8     107
VOUS 58        18        20    6     60     49    85     23     6     99
ILS 43        29        52    21    46     55    54     18     5     96
EN 60        7         26    55    51     35    63     15     4     102
ON 33        5         13    45    52     31    39     1      0     174
CE 40        10        15    39    37     33    58     13     8     112
NE 38        8         18    27    51     30    73     10     7     81
TOUS 39        18        22    43    48     26    42     11     7     78
UNE 43        10        16    45    41     20    54     11     6     85
AU 55        11        16    29    49     24    68     12     4     57
A 61        13        26    24    52     14    32     8      7     82
PLUS 37        5         25    31    30     24    67     14     9     75
OU 45        7         21    35    62     22    37     8      3     65
PEUPLE                   45     18    15   14    53    30      42      16      4       59                 
LIBERTÉ                 28     21    17   26    31    15      28      12      3       45
RÉPUBLIQUE           35     10    16   29    29    9       21      14      2       42
ENNEMIS                 30     13    11   19    22    10      16      7       2       35
PATRIE                   6      5     16   8     23    10      35      8       3       39
CONVENTION           6      9     7    37    10    15      8       3       0       31
NATIONALE             6      9     8    16    9     19      9       3       0       45
TYRANS                   16     17    12   5     18    10      12      6       4       24
GOUVERNEMENT       16     1     19   24    34    1       4       3       0       18
FRANÇAIS               27     13    8    3     8     7       15      9       4       15
HOMMES                   9      8     1    12    13    7       28      1       3       27
PUBLIC                   10     2     9    32    15    6       7       4       0       23
COMITÉ                   10     2     6    35    6     11      1       1       0       31
PEUT                        16     2     4    7     24    6       13      2       1       16
RÉVOLUTION            11     4     3    7     15    8       16      2       0       25
SALUT                      9      3     5    33    8     5       2       3       0       23
PRINCIPES              13     3     4    4     15    3       12      4       0       31
FAIRE                      21     5     6    10    10    4       15      2       0       14
VERTU                      5      3     2    5     24    1       21      5       3       14
PATRIOTES              2      0     6    23    10    13      7       0       0       20
HOMME                      5      0     0    10    6     2       32      1       5       12
JUSTICE                  3      5     4    2     11    6       10      3       5       24
TYRANNIE                5      5     5    5     13    2       10      2       3       22
CRIME                      4      0     2    8     10    2       10      4       2       29
FAUT                        7      1     8    4     24    4       6       0       0       16
FRANCE                    36     7     4    1     6     2       5       3       1       5
FAIT                        2      1     2    16    9     2       12      3       2       20
NON                          7      3     3    11    9     7       8       0       0       21
CEUX                        13     1     3    13    11    6       8       2       0       10
TEMPS                      12     0     5    9     7     4       8       3       1       18
REPRÉSENTANTS      4      8     5    6     9     11      7       4       0       12
PUBLIQUE                2      1     6    8     9     4       13      3       0       19
GUERRE                    13     5     8    14    9     1       7       3       0       4
CRIMES                    8      6     1    6     3     5       6       2       1       21
RAISON                    9      5     2    4     11    1       14      1       0       12
BUT                          5      1     5    14    13    4       5       0       0       11
PATRIOTISME          3      5     6    6     9     8       3       1       0       15
POLITIQUE              19     1     3    4     12    0       14      1       0       3
ROIS                        10     8     4    0     3     2       13      2       6       3
CAUSE                      9      4     1    2     13    8       7       1       1       15
BOURDON                      0    0     0    20       0       0       0       0          0     0                  
CONTRE-RÉVOLUTIONNAIRES	     1    0     1    5        3       0       1       2          0     7
DIGNE                        2    1     0    3        2       1       3       3          2     3
DOUTE                        0    1     0    2        1       1       8       2          0     5
MARCHE                       2    0     2    0        3       0       3       3          0     7
MONTAGNE                     0    0     2    7        0       9       0       0          0     2
OPPRESSEURS                  2    2     0    0        3       1       4       0          1     7
QUELQUEFOIS                  1    0     6    1        1       3       3       0          0     5
RUINE                        4    1     0    3        1       2       4       1          0     4
SAGESSE                      3    1     1    1        3       1       4       1          3     2
ATHÉISME                     0    0     1    1        1       0       7       1          1     7
AUTRICHE                     9    3     1    0        2       4       0       0          0     0
BESOIN                       3    0     3    1        4       3       1       1          0     3
BR1SSOT                      5    0     0    3        0       2       3       2          0     4
CIRCONSTANCES                3    0     2    4        4       2       1       0          0     3
COURAGE                      5    4     2    2        2       1       2       0          1     0
DOIVENT                      2    2     1    0        4       2       5       0          0     3
EXISTE                       2    0     1    0        4       1       3       0          0     8
EXISTENCE                    4    0     0    3        0       3       3       0          0     6
FABRE                        0    0     0    13       0       0       0       0          0     6
FONT                         2    2     2    3        4       0       5       0          0     1
GÉNÉREUX                     2    1     1    1        0       1       6       1          3     3
