"Adj??" "AdjMS" "Adj?P" "Adv" "AdvGP" "CCoord" "CCoordAdj" "CCoordPrepDe" "CSub" "Det" "Det??" "DetFS" "DetMP" "DetMS" "Elim" "Nom??" "NomFS" "NomInc" "NomM?" "NomMS" "Nom?P" "NomPr" "NomPrXXInc" "NomPrXXPrenom" "Nom?S" "NomXXDate" "Ppa??" "PpaFP" "PpaFS" "PpaMP" "PpaMS" "PpaMSp" "Ppr" "Prep" "PrepDet" "Pro" "ProRel" "Typo" "VCONJP" "VCONJS" "VINF" "AdjFS" "CCoordNom" "CCoordNomPr" "CCoordVCONJP" "CCoordVCONJS" "DetNum" "NomMP" "NomXXMes" "NomXXMon" "TypoCoordNom" "TypoCoordPpa" "TypoCoordPrepDe" "VCONJPp" "CCoordAdv" "CCoordPrep" "CCoordVCONJSp" "NomXXNum" "TypoCoordPrep" "TypoCoordVCONJSp" "VCONJSp" "AdjFP" "AdjM?" "CCoordCSub" "CCoordNomXXDate" "VINFp" "AdjMP" "CCoordDet" "CCoordProRel" "CCoordVINF" "TypoCoordNomPr" "TypoCoordVCONJS" "NomFP" "Adj?S" "CCoordNomXXNum" "TypoCoordAdj" "CCoordPpa" "TypoCoordVINF" "CCoordPrepDet" "TypoCoordPrepDet" "Pprp" "TypoCoordAdv" "NomXXAdr" "TypoCoordVCONJP" "CCoordVCONJPp" "TypoCoordProRel" "TypoCoordNomXXDate" "CCoordPpr" "NomXXHeure" "NomXXUrl" "CCoordVINFp" "TypoCoordNomXXNum" "NomXXMail"
"1" 29 4 2 36 6 4 1 2 15 2 47 5 2 6 1 3 23 2 1 24 26 4 18 16 28 7 3 2 4 1 21 2 3 97 1 45 6 99 2 41 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 52 1 3 33 8 6 1 4 7 7 87 6 8 23 1 2 39 1 0 40 41 9 27 15 54 7 2 5 2 3 15 0 3 126 1 40 8 113 10 50 12 1 7 1 2 4 2 1 1 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 19 1 0 17 10 3 1 0 1 1 28 2 3 1 0 1 9 2 0 8 5 10 18 10 20 7 1 0 0 0 9 0 0 45 2 11 1 47 1 12 3 0 3 1 0 1 0 0 0 0 0 0 0 0 1 2 1 3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 39 0 1 35 9 11 0 3 15 6 80 3 3 7 0 4 20 1 0 38 28 12 39 38 56 21 2 2 2 2 21 0 6 134 2 28 6 104 4 37 22 1 5 2 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 5 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 44 2 6 39 8 5 0 0 12 9 74 8 11 7 0 1 28 1 0 38 36 10 36 8 21 5 3 0 0 5 19 0 1 112 0 72 14 154 14 54 30 1 0 0 0 0 2 2 1 0 0 0 0 2 0 0 1 1 0 0 1 0 0 1 0 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 10 0 1 12 2 6 0 0 2 1 30 0 1 3 0 0 19 0 0 8 9 5 16 12 9 4 0 0 4 0 2 0 1 38 2 14 7 41 3 14 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 21 1 0 39 7 7 0 1 9 2 35 4 4 3 0 1 17 1 0 13 17 4 7 3 13 2 1 1 1 1 6 0 1 49 1 35 11 58 10 29 10 1 1 1 0 3 0 0 0 0 0 0 0 1 0 1 0 3 1 0 0 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 9 0 0 29 6 7 0 0 5 1 39 0 2 4 0 0 10 1 0 15 8 2 24 12 19 7 2 0 2 3 12 1 5 56 1 48 6 72 3 35 12 0 0 2 0 1 1 0 1 1 0 0 0 2 0 0 0 11 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 62 0 4 34 8 10 2 1 15 4 98 4 6 10 1 4 32 4 0 47 39 19 27 13 56 9 4 5 4 3 21 0 3 159 1 47 8 150 10 38 23 1 3 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 110 6 8 74 20 7 1 4 16 9 146 5 10 27 0 6 38 7 0 91 62 28 42 54 87 19 7 3 3 10 36 0 9 256 0 62 18 232 9 75 28 1 4 0 1 2 2 0 2 0 0 0 0 1 1 1 0 2 3 0 0 4 3 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
