"year" "section" "section.orig" "genre" "author" "years.group"
"19870227N2-008-02" "1987" "POL-FRA" "POL" "ENTRETIEN" "ROLLAT ALAIN" 1
"19870320N2-030-02" "1987" "ART" "ART" "PORTRAIT" "LABE YVES MARIE" 1
"19870328N2-022-03" "1987" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19870507N2-025-31" "1987" "ECO-ENT" "ECO" "BIOGRAPHIE" "GROSRICHARD FRANCOIS" 1
"19870608N2-006-04" "1987" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19870613N2-022-02" "1987" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 1
"19870909N2-013-03" "1987" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 1
"19870924N2-015-05" "1987" "ART" "ART" "ENTRETIEN" "LABE YVES MARIE" 1
"19871003N2-011-02" "1987" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19871008N2-012-01" "1987" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19871008N2-036-01" "1987" "ART" "ART" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 1
"19871013N2-006-03" "1987" "INT-ETR" "ETR" "BIOGRAPHIE" "ROSENZWEIG LUC" 1
"19871029N2-014-08" "1987" "ART" "ART" "PORTRAIT" "KECHICHIAN PATRICK" 1
"19871106N2-003-03" "1987" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 1
"19880112N2-006-10" "1988" "INT-ETR" "ETR" "BIOGRAPHIE" "DHOMBRES DOMINIQUE" 1
"19880126N2-006-04" "1988" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 1
"19880212N2-023-02" "1988" "ECO-ENT" "ECO" "NECROLOGIE" "GROSRICHARD FRANCOIS" 1
"19880310N2-008-02" "1988" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19880310N2-032-67" "1988" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 1
"19880311N2-008-04" "1988" "POL-FRA" "POL" "PORTRAIT" "ISNARD JACQUES" 1
"19880326N2-011-05" "1988" "POL-FRA" "POL" "PORTRAIT" "COURTOIS GERARD" 1
"19880331N2-003-03" "1988" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 1
"19880409N2-022-07" "1988" "ART" "ART" "NECROLOGIE" "LABE YVES MARIE" 1
"19880516N2-009-04" "1988" "POL-FRA" "POL" "PORTRAIT" "GROSRICHARD FRANCOIS" 1
"19880524N2-003-01" "1988" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19880620N2-015-03" "1988" "ART" "ART" "CORRESPONDANCE" "LABE YVES MARIE" 1
"19880621N2-009-02" "1988" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19880712N2-036-65" "1988" "INT-ETR" "ETR" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 1
"19880713N2-008-03" "1988" "POL-FRA" "POL" "BIOGRAPHIE" "GROSRICHARD FRANCOIS" 1
"19880714N2-001-01" "1988" "POL-FRA" "POL" "ENTRETIEN" "ISNARD JACQUES" 1
